userId,productId,rating,timestamp,year,month,day,user_ratings_count,product_ratings_count
AKM1MP6P0OYPR,0132793040,5.0,2013-04-13,2013.0,4.0,13.0,1.0,1.0
A2CX7LUOHB2NDG,0321732944,5.0,2012-07-01,2012.0,7.0,1.0,1.0,1.0
A2NWSAGRHCP8N5,0439886341,1.0,2013-04-29,2013.0,4.0,29.0,1.0,3.0
A2WNBOD3WNDNKT,0439886341,3.0,2013-07-22,2013.0,7.0,22.0,1.0,3.0
A1GI0U4ZRJA8WN,0439886341,1.0,2012-04-18,2012.0,4.0,18.0,1.0,3.0
A1QGNMC6O1VW39,0511189877,5.0,2014-04-14,2014.0,4.0,14.0,1.0,6.0
A3J3BRHTDRFJ2G,0511189877,2.0,2014-04-14,2014.0,4.0,14.0,1.0,6.0
A2TY0BTJOTENPG,0511189877,5.0,2014-03-27,2014.0,3.0,27.0,1.0,6.0
A34ATBPOK6HCHY,0511189877,5.0,2014-03-23,2014.0,3.0,23.0,1.0,6.0
A89DO69P0XZ27,0511189877,5.0,2014-03-22,2014.0,3.0,22.0,1.0,6.0
AZYNQZ94U6VDB,0511189877,5.0,2014-05-29,2014.0,5.0,29.0,1.0,6.0
A1DA3W4GTFXP6O,0528881469,5.0,2014-07-18,2014.0,7.0,18.0,1.0,27.0
A29LPQQDG7LD5J,0528881469,1.0,2012-11-05,2012.0,11.0,5.0,1.0,27.0
AO94DHGC771SJ,0528881469,5.0,2013-06-02,2013.0,6.0,2.0,1.0,27.0
AMO214LNFCEI4,0528881469,1.0,2010-11-25,2010.0,11.0,25.0,1.0,27.0
A28B1G1MSJ6OO1,0528881469,4.0,2010-07-25,2010.0,7.0,25.0,1.0,27.0
A3N7T0DY83Y4IG,0528881469,3.0,2010-09-09,2010.0,9.0,9.0,1.0,27.0
A1H8PY3QHMQQA0,0528881469,2.0,2010-11-24,2010.0,11.0,24.0,1.0,27.0
A2CPBQ5W4OGBX,0528881469,2.0,2010-06-21,2010.0,6.0,21.0,1.0,27.0
A265MKAR2WEH3Y,0528881469,4.0,2011-01-12,2011.0,1.0,12.0,1.0,27.0
A37K02NKUIT68K,0528881469,5.0,2010-12-25,2010.0,12.0,25.0,1.0,27.0
A2AW1SSVUIYV9Y,0528881469,4.0,2010-11-06,2010.0,11.0,6.0,1.0,27.0
A2AEHUKOV014BP,0528881469,5.0,2010-09-12,2010.0,9.0,12.0,1.0,27.0
AMLFNXUIEMN4T,0528881469,1.0,2011-06-12,2011.0,6.0,12.0,1.0,27.0
A2O8FIJR9EBU56,0528881469,4.0,2010-07-08,2010.0,7.0,8.0,1.0,27.0
A3IQGFB959IR4P,0528881469,1.0,2012-01-24,2012.0,1.0,24.0,1.0,27.0
AYTBGUX49LF3W,0528881469,4.0,2014-04-26,2014.0,4.0,26.0,1.0,27.0
A24QFSUU00IZ05,0528881469,2.0,2010-12-29,2010.0,12.0,29.0,1.0,27.0
A1NG5X8VYZWX0Q,0528881469,1.0,2010-10-09,2010.0,10.0,9.0,1.0,27.0
A1E4WG8HRWWK4R,0528881469,5.0,2014-01-28,2014.0,1.0,28.0,1.0,27.0
A2AOEW5UGXFOOQ,0528881469,5.0,2011-01-12,2011.0,1.0,12.0,1.0,27.0
A2XSWV6AQI90BR,0528881469,1.0,2011-03-13,2011.0,3.0,13.0,1.0,27.0
AR84FMFYCQCWF,0528881469,1.0,2011-02-03,2011.0,2.0,3.0,1.0,27.0
A19TBA1WARJS55,0528881469,2.0,2012-06-24,2012.0,6.0,24.0,1.0,27.0
A3C5SMBSKKWNPT,0528881469,5.0,2010-09-22,2010.0,9.0,22.0,1.0,27.0
A24EV6RXELQZ63,0528881469,1.0,2011-09-29,2011.0,9.0,29.0,1.0,27.0
A3T6ZQONABIJSG,0528881469,1.0,2013-01-13,2013.0,1.0,13.0,1.0,27.0
A132P6YSJSI5G2,0528881469,2.0,2011-02-28,2011.0,2.0,28.0,1.0,27.0
A1NQPG5IJ43HJI,0558835155,3.0,2013-06-30,2013.0,6.0,30.0,1.0,1.0
A2WOJCFAWI8VS8,059400232X,5.0,2013-09-17,2013.0,9.0,17.0,1.0,3.0
A22FB2WSZSXSHH,059400232X,5.0,2012-09-28,2012.0,9.0,28.0,1.0,3.0
AZQZ3STMCBG5H,059400232X,5.0,2014-03-25,2014.0,3.0,25.0,1.0,3.0
A2EGPA22UHMQXL,0594012015,1.0,2014-07-14,2014.0,7.0,14.0,1.0,8.0
AC57CU3TF6ZMJ,0594012015,5.0,2014-07-01,2014.0,7.0,1.0,1.0,8.0
A2YX0Z6RHA8Y2H,0594012015,1.0,2013-11-13,2013.0,11.0,13.0,1.0,8.0
A38T51B7J6QVD9,0594012015,1.0,2013-08-22,2013.0,8.0,22.0,1.0,8.0
A1HOSS7PNC1LMU,0594012015,1.0,2013-07-23,2013.0,7.0,23.0,1.0,8.0
A9HI77BE35VYE,0594012015,1.0,2013-07-16,2013.0,7.0,16.0,1.0,8.0
A3HFUWKSPF5QEH,0594012015,5.0,2013-07-20,2013.0,7.0,20.0,1.0,8.0
A38ETMHM9ATSF0,0594012015,1.0,2013-07-18,2013.0,7.0,18.0,1.0,8.0
A34O6MND17VDDH,0594017343,1.0,2011-12-07,2011.0,12.0,7.0,2.0,1.0
A3JSAGWSLY5044,0594017580,3.0,2014-07-04,2014.0,7.0,4.0,2.0,1.0
A3B12X05JZKM94,0594033896,5.0,2014-07-15,2014.0,7.0,15.0,1.0,5.0
AKZOMZCNU41GZ,0594033896,4.0,2014-01-02,2014.0,1.0,2.0,1.0,5.0
A2XTFY0GJDF3R2,0594033896,4.0,2011-03-16,2011.0,3.0,16.0,1.0,5.0
A3ILG56NE5QU37,0594033896,5.0,2014-05-07,2014.0,5.0,7.0,1.0,5.0
AOK77THMKCGXZ,0594033896,4.0,2014-03-11,2014.0,3.0,11.0,1.0,5.0
A24RBL3W5W6SAN,0594033926,5.0,2014-02-15,2014.0,2.0,15.0,1.0,15.0
A2RX85Y4S27N2J,0594033926,1.0,2014-04-19,2014.0,4.0,19.0,1.0,15.0
A253JJFXQNPCOJ,0594033926,4.0,2013-12-21,2013.0,12.0,21.0,1.0,15.0
AHYURLVH267MA,0594033926,5.0,2014-01-09,2014.0,1.0,9.0,1.0,15.0
A1FXYTO11KEJ2P,0594033926,4.0,2014-04-24,2014.0,4.0,24.0,2.0,15.0
A2TKKYL3GKFS2M,0594033926,5.0,2013-12-27,2013.0,12.0,27.0,1.0,15.0
A3F069UFW04K1E,0594033926,5.0,2014-02-13,2014.0,2.0,13.0,1.0,15.0
A3HQ8RXUMJ2Y58,0594033926,5.0,2014-05-25,2014.0,5.0,25.0,1.0,15.0
A2MNKBHPMBB0EA,0594033926,5.0,2014-01-18,2014.0,1.0,18.0,1.0,15.0
